"UF","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","total"
AC,0,0,62,8,2,0,14,8,15,0,109
AL,0,0,0,0,0,656,0,0,51,0,707
AM,0,2,0,14,10,85,0,9,63,162,345
BA,1089,150,285,529,175,106,285,101,110,52,2882
CE,0,0,0,88,19,192,20,0,0,0,319
ES,0,244,0,0,22,89,99,107,22,26,609
GO,0,245,404,194,658,867,328,343,310,159,3508
MA,316,331,445,280,378,99,161,107,111,67,2295
MG,0,19,0,87,425,229,421,509,288,172,2150
MS,29,0,26,40,1646,236,22,8,379,34,2420
MT,683,326,1412,444,107,578,308,119,83,55,4115
PA,1829,938,1205,1062,1933,811,326,563,237,482,9386
PB,0,0,0,0,0,0,0,27,0,0,27
PE,0,0,0,0,0,309,419,0,0,0,728
PI,0,38,55,88,195,129,11,20,5,97,638
PR,0,0,82,40,129,163,227,120,27,164,952
RJ,446,0,0,44,49,46,521,58,111,9,1284
RN,0,29,0,0,0,7,0,0,0,0,36
RO,483,18,42,0,0,28,59,37,80,10,757
RR,0,0,0,0,0,0,26,0,0,0,26
RS,0,0,35,0,47,4,18,24,28,18,174
SC,0,0,0,44,52,132,98,253,95,45,719
SP,0,0,0,0,61,172,38,51,150,193,665
TO,347,541,295,455,91,78,353,92,106,309,2667
